Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,648125,6.00%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,574785,11.90%,"1,525,000","Seattle, Washington"
3,Apple,Electronics industry,383482,-2.80%,"161,000","Cupertino, California"
4,UnitedHealth Group,Healthcare,371622,14.60%,"440,000","Minnetonka, Minnesota"
5,Berkshire Hathaway,Conglomerate,364482,20.70%,"396,500","Omaha, Nebraska"
6,CVS Health,Healthcare,357776,10.90%,"259,500","Woonsocket, Rhode Island"
7,ExxonMobil,Petroleum industry,344582,-16.70%,"61,500","Spring, Texas"
8,Alphabet,Technology and cloud computing,307394,8.70%,"182,502","Mountain View, California"
9,McKesson Corporation,Health,276711,4.80%,"48,000","Irving, Texas"
10,Cencora,Pharmacy wholesale,262173,9.90%,"44,000","Conshohocken, Pennsylvania"
11,Costco,Retail,242290,6.80%,"316,000","Issaquah, Washington"
12,JPMorgan Chase,Financial services,239425,54.70%,"309,926","New York City, New York"
13,Microsoft,Technology and cloud computing,211915,6.90%,"221,000","Redmond, Washington"
14,Cardinal Health,Healthcare,205012,13.00%,"47,520","Dublin, Ohio"
15,Chevron Corporation,Petroleum industry,200949,-18.40%,"45,600","San Ramon, California"
16,Cigna,Health insurance,195265,8.20%,"71,413","Bloomfield, Connecticut"
17,Ford Motor Company,Automotive industry,176191,11.50%,"177,000","Dearborn, Michigan"
18,Bank of America,Financials,171912,49.40%,"212,985","Charlotte, North Carolina"
19,General Motors,Automotive industry,171842,9.60%,"163,000","Detroit, Michigan"
20,Elevance Health,Healthcare,171340,9.40%,"104,900","Indianapolis, Indiana"
21,Citigroup,Financials,156820,55.10%,"237,925","New York City, New York"
22,Centene,Healthcare,153999,6.50%,"67,700","St. Louis, Missouri"
23,The Home Depot,Retail,152669,-3.00%,"463,100","Atlanta, Georgia"
24,Marathon Petroleum,Petroleum industry,150307,-16.50%,"18,200","Findlay, Ohio"
25,Kroger,Retail,150039,-3.60%,"414,000","Cincinnati, Ohio"
26,Phillips 66,Petroleum industry,149890,-14.70%,"14,000","Houston, Texas"
27,Fannie Mae,Financials,141240,16.20%,"8,100","Washington, D.C."
28,Walgreens Boots Alliance,Pharmaceutical industry,139081,4.80%,"268,500","Deerfield, Illinois"
29,Valero Energy,Petroleum industry,139001,-18.80%,"9,987","San Antonio, Texas"
30,Meta Platforms,Technology,134902,15.70%,"67,317","Menlo Park, California"
31,Verizon Communications,Telecommunications,133974,-2.10%,"105,400","New York City, New York"
32,AT&T,Conglomerate and telecommunications,122428,1.40%,"150,470","Dallas, Texas"
33,Comcast,Telecommunications,121572,0.10%,"186,000","Philadelphia, Pennsylvania"
34,Wells Fargo,Financials,115340,39.20%,"226,000","San Francisco, California"
35,Goldman Sachs,Financials,108418,57.80%,"45,300","New York City, New York"
36,Freddie Mac,Financials,108050,24.60%,"8,020","McLean, Virginia"
37,Target Corporation,Retail,107412,-1.60%,"415,000","Minneapolis, Minnesota"
38,Humana,Health insurance,106374,14.50%,"67,600","Louisville, Kentucky"
39,State Farm,Financials,104199,16.60%,"65,054","Bloomington, Illinois"
40,Tesla,Automotive and energy,96773,18.80%,"140,473","Austin, Texas"
41,Morgan Stanley,Financials,96194,45.90%,"80,006","New York City, New York"
42,Johnson & Johnson,Pharmaceutical industry,95195,0.30%,"131,900","New Brunswick, New Jersey"
43,Archer Daniels Midland,Food industry,93935,-7.50%,"41,008","Chicago, Illinois"
44,PepsiCo,Beverage,91471,5.90%,"318,000","Purchase, New York"
45,United Parcel Service,Transportation,90958,-9.30%,"382,550","Atlanta, Georgia"
46,FedEx,Transportation,90155,-3.60%,"446,400","Memphis, Tennessee"
47,The Walt Disney Company,Media,88898,7.50%,"199,125","Burbank, California"
48,Dell Technologies,Technology,88425,-13.60%,"120,000","Round Rock, Texas"
49,Lowe's,Retail,86377,-11.00%,"226,000","Mooresville, North Carolina"
50,Procter & Gamble,Consumer products manufacturing,82006,2.30%,"107,000","Cincinnati, Ohio"
51,Energy Transfer Partners,Petroleum industry,78586,-12.60%,"13,786","Dallas, Texas"
52,Boeing,Aerospace and defense,77794,16.80%,"171,000","Arlington County, Virginia"
53,Albertsons,Retail,77650,8.00%,"198,650","Boise, Idaho"
54,Sysco,Food service,76325,11.20%,"71,750","Houston, Texas"
55,RTX Corporation,Conglomerate,68920,2.80%,"185,000","Arlington County, Virginia"
56,General Electric,Conglomerate,67954,-11.20%,"125,000","Boston, Massachusetts"
57,Lockheed Martin,Aerospace and defense,67571,2.40%,"122,000","Bethesda, Maryland"
58,American Express,Financial,67364,21.10%,"74,600","New York City, New York"
59,Caterpillar,Machinery,67060,12.80%,"113,200","Deerfield, Illinois"
60,MetLife,Financials,66905,-4.30%,"45,000","New York City, New York"
61,HCA Healthcare,Healthcare,64968,7.90%,"265,000","Nashville, Tennessee"
62,Progressive Corporation,Insurance,62109,25.20%,"61,432","Mayfield Village, Ohio"
63,IBM,Technology and cloud computing,61860,-16.30%,"296,600","Armonk, New York"
64,John Deere,Agriculture manufacturing,61251,16.50%,"82,956","Moline, Illinois"
65,Nvidia,Technology,60922,125.90%,"29,600","Santa Clara, California"
66,StoneX Group,Financials,60856,-7.80%,"4,137","New York City, New York"
67,Merck & Co.,Pharmaceutical industry,60115,1.40%,"71,000","Kenilworth, New Jersey"
68,ConocoPhillips,Petroleum industry,58574,-28.70%,"9,900","Houston, Texas"
69,Pfizer,Pharmaceutical industry,58496,-41.70%,"88,000","New York City, New York"
70,Delta Air Lines,Airline,58048,14.80%,"103,000","Atlanta, Georgia"
71,TD Synnex,Infotech,57555,-7.70%,"28,000","Clearwater, Florida"
72,Publix,Retail,57534,4.70%,"253,000","Lakeland, Florida"
73,Allstate,Insurance,57094,11.10%,"53,200","Northfield Township, Cook County, Illinois"
74,Cisco,Telecom hardware manufacturing,56998,10.60%,"84,900","San Jose, California"
75,Nationwide Mutual Insurance Company,Financial,54609,6.10%,"24,118","Columbus, Ohio"
76,Charter Communications,Telecommunications,54607,1.10%,"101,100","Stamford, Connecticut"
77,AbbVie,Pharmaceutical industry,54317,-6.40%,"50,000","Lake Bluff, Illinois"
78,New York Life Insurance Company,Insurance,54317,14.20%,"15,384","New York City, New York"
79,Intel,Technology,54228,-14.00%,"124,800","Santa Clara, California"
80,TJX,Retail,49936,2.90%,"329,000","Framingham, Massachusetts"
81,Prudential Financial,Financials,53979,-10.10%,"40,366","Newark, New Jersey"
82,HP,Technology,53718,-14.50%,"58,000","Palo Alto, California"
83,United Airlines,Airline,53717,19.50%,"103,300","Chicago, Illinois"
84,Performance Food Group,Food processing,53355,13.10%,"34,825","Richmond, Virginia"
85,Tyson Foods,Food processing,52788,-0.80%,"139,000","Springdale, Arkansas"
